login_id,total_stargazers_count
ijagjeet,42
jonathanrico,14
throughnothing,26
voodootikigod,106
helloworld-cat,19
KaterinaToy,0
viralpandya,0
grunch,21
darwin,1003
jiaofeng,1
hlb,25
thezedwards,16
bumi,41
rodrigooler,39
iamgilwell,2
t3573393,4
obfuscat3d,0
bobomurod,6
jaredhanson,104
mogox,7
kialam,2
hugoerg56,12
janfilips,120
greysun,9
kinimodmeyer,14
MichalPaszkiewicz,395
mengcoin,3
bcurren,189
timothyklim,10
caingougou,5
Bitonics,26
mrflip,69
soldat13,0
saberma,1445
JaniAnttonen,7
miamiruby,18
RaymondCrandall,1
pennyone00,0
jniamehr,0
pechorin,973
chrisobdam,4
mbautin,3
peteonrails,22
seabre,9
topfunky,1935
jjuarez,7
flipsasser,49
gdeglin,24
iorch,52
almartin82,2
shmuel7e,10
exgalaxy,1
yuanwencong,1
sai43,4
johndpope,0
AlexxNica,4
ssleptsov,1258
peterp,364
ticean,42
aprock,36
vespakoen,134
ssoper,153
garrisonreid,0
kroitor,2315
ronenhamias,47
allangrant,25
mrklaw,0
RobLoach,6
dalinnen,0
iamhabitat,0
willywg,5
chunzi,139
batsuuri,0
fling,1
verejava,12
BrianGator,0
godane,57
steffanjensen,5
yyeexxhhh,1
ivansf,32
bbigras,3
esneko,9
kaichen,29
CubeSpawn,12
vsantosu,38
laconc,6
audy,99
Hamz-a,512
wouterdebres,1
seanahrens,4
onsails,10
nckx,0
jhonsu01,3
matteobertozzi,364
MattMcFarland,48
lnsoso,0
minglecm,51
j15e,9
JSansalone,4
dejan,4754
tualatrix,48
kenneth,3
javadabadoo,5
marothstein,12
poshboytl,20
botsbrain,0
skyfallsin,166
rchk,3
taoeffect,134
huacnlee,2429
daaku,83
sudachen,3
archan937,510
krisjin,69
broccolini,375
thejeshgn,50
chipski,7
collin,16
gavinuhma,30
b3bakyt,13
andresmasegosa,34
suriyaa,172
ask,644
franklsm1,23
JurandyBitConnect,0
freewil,489
minsle,13
jkakar,266
alfredwesterveld,34
gabrielpconceicao,29
SummerCHINA,0
edgar,37
NoreplyGao,0
mattorb,121
ryantm,544
