login_id,repo_count,follower_count,member_since
iamfredrickokereke,250.0,62.0, 2018-04-12 
kj2houli,15.0,26.0, 2015-01-02 
curv3ball,7.0,74.0, 2018-05-10 
codingscode,171.0,1306.0, 2019-05-05 
pshc,55.0,33.0, 2008-04-11 
mikeyb,26.0,123.0, 2008-11-24 
slpsys,29.0,21.0, 2009-03-10 
yepitschunked,55.0,36.0, 2009-09-10 
j15e,62.0,80.0, 2009-10-22 
davidrobles,51.0,69.0, 2009-12-08 
KokaKiwi,203.0,151.0, 2010-01-15 
cburgdorf,133.0,413.0, 2010-12-13 
erynofwales,28.0,52.0, 2011-03-30 
poguez,79.0,122.0, 2011-04-15 
iorch,38.0,47.0, 2011-07-11 
mogox,28.0,42.0, 2011-07-19 
lcampos,17.0,36.0, 2011-09-11 
dryajov,203.0,178.0, 2011-10-01 
victor-vargas2009,12.0,7.0, 2011-10-24 
NatashaTheRobot,123.0,1583.0, 2011-10-28 
helloworld-cat,33.0,38.0, 2012-01-22 
hm1lry9,10.0,585.0, 2012-01-32 
pxpgraphics,156.0,34.0, 2012-04-19 
SeanReid,37.0,3.0, 2012-08-22 
haozeng,18.0,21.0, 2012-09-28 
215eight,9.0,3.0, 2013-02-19 
jescriba,38.0,21.0, 2013-03-22 
jonathanrico,29.0,24.0, 2013-05-17 
sai43,202.0,18.0, 2013-05-31 
suriyaa,54.0,962.0, 2013-07-23 
cnd,15.0,0.0, 2012-10-26 
Rady,43.0,18.0, 2009-08-26 
m1kal,24.0,0.0, 2016-11-26 
