login_id,repo_count,follower_count,member_since
membogg,4.0,17.0, 2008-04-16 
bcurren,33.0,39.0, 2008-04-27 
watson,388.0,1723.0, 2008-05-17 
igrigorik,75.0,8404.0, 2008-05-18 
allanfreitas,239.0,59.0, 2010-06-13 
ijagjeet,41.0,2230.0, 2018-12-19 
superisaac,59.0,62.0, 2008-06-04 
blanu,86.0,134.0, 2008-11-20 
jserv,113.0,3403.0, 2010-11-12 
trietptm,198.0,1355.0, 2010-12-17 
mbautin,144.0,1328.0, 2011-01-08 
KJlmfe,65.0,95.0, 2011-12-03 
ChunMengLu,13.0,136.0, 2012-08-08 
ankitshah009,1466.0,145.0, 2013-02-09 
hehead,1.0,641.0, 2013-05-12 
vlordier,33.0,375.0, 2013-09-12 
SummerCHINA,1.0,1.0, 2013-11-14 
ddjjj,0.0,0.0, 2013-12-11 
tchnorider,16.0,290.0, 2015-09-04 
Lisprez,411.0,1154.0, 2015-09-23 
Linux-Player,2.0,1200.0, 2016-10-10 
minsle,2.0,680.0, 2017-03-10 
xiaolan98,20.0,5.0, 2017-09-13 
andresurepno,0.0,11.0, 2017-12-07 
haobuxia,11.0,3.0, 2018-09-23 
glhewett,30.0,18.0, 2008-04-18 
springnet,3.0,4.0, 2008-06-14 
herestomwiththeweather,47.0,58.0, 2008-07-07 
codeodor,108.0,37.0, 2008-09-06 
cmavromoustakos,23.0,32.0, 2009-08-03 
benwbrum,26.0,86.0, 2010-02-09 
mashiox,47.0,52.0, 2010-06-18 
davesag,121.0,82.0, 2010-09-04 
shpytalenko,54.0,2.0, 2011-01-20 
ssdavenport,14.0,9.0, 2011-05-27 
haileypate,38.0,22.0, 2011-10-04 
bishopZ,47.0,58.0, 2011-10-19 
brianckeegan,31.0,141.0, 2015-11-10 
MaxValue,35.0,41.0, 2012-02-17 
shamio,2.0,663.0, 2012-03-11 
exgalaxy,2.0,1.0, 2012-03-13 
aachokey,21.0,41.0, 2013-05-27 
atsiarenia,2.0,14.0, 2013-10-21 
hsinjoulin,3.0,1.0, 2015-03-04 
bobbyahines,28.0,9.0, 2015-03-07 
danielirimia,27.0,17.0, 2015-04-01 
m-ezekiel,32.0,18.0, 2015-04-23 
pennyone00,0.0,2.0, 2015-10-29 
laurenrenaud,22.0,11.0, 2016-01-09 
EricAtMSFT,4.0,9.0, 2016-02-19 
laconc,8.0,17.0, 2016-07-12 
stevemclaugh,28.0,28.0, 2016-07-26 
thezedwards,497.0,569.0, 2016-12-12 
pablete,25.0,72.0, 2008-02-19 
tel,195.0,212.0, 2008-02-27 
anandkunal,7.0,100.0, 2008-02-28 
ask,86.0,1896.0, 2008-02-28 
jiahao,142.0,588.0, 2008-02-29 
mmcgrana,60.0,1073.0, 2008-03-06 
tmm1,314.0,2354.0, 2008-03-08 
mokeefe,1.0,20.0, 2008-03-25 
ttriche,176.0,176.0, 2008-04-02 
gdeglin,26.0,56.0, 2008-04-04 
dehora,46.0,85.0, 2008-04-06 
ryanking,34.0,247.0, 2008-04-07 
mrflip,144.0,269.0, 2008-04-09 
dcreager,89.0,231.0, 2008-04-15 
dlwh,47.0,295.0, 2008-05-07 
jmalonzo,67.0,83.0, 2008-06-01 
dustinwhittle,1.0,274.0, 2008-06-01 
fredrik,58.0,72.0, 2008-06-06 
jonbaer,293.0,166.0, 2008-06-10 
massie,39.0,120.0, 2008-08-04 
EricPKerr,56.0,36.0, 2008-08-11 
fmu,2.0,6.0, 2008-08-25 
aparo,151.0,149.0, 2008-10-08 
so,0.0,20.0, 2008-10-21 
gourneau,75.0,69.0, 2008-10-22 
ret,19.0,37.0, 2008-11-09 
latrokles,24.0,56.0, 2008-11-18 
linkerlin,311.0,155.0, 2008-11-28 
matteobertozzi,23.0,65.0, 2008-12-04 
travisbrady,58.0,94.0, 2008-12-04 
cwsaylor,25.0,41.0, 2008-02-14 
edgar,129.0,52.0, 2008-09-12 
miamiruby,130.0,58.0, 2008-10-16 
maca,91.0,101.0, 2008-10-19 
miamiartexchange,2.0,6.0, 2008-10-25 
maggit,50.0,279.0, 2008-11-07 
willywg,41.0,45.0, 2009-01-01 
jjuarez,126.0,52.0, 2009-01-20 
chillicoder,161.0,120.0, 2009-01-25 
endymion,97.0,26.0, 2009-02-06 
xalakox,22.0,28.0, 2009-03-17 
carlitos,27.0,82.0, 2009-03-25 
christianrojas,11.0,36.0, 2009-06-04 
scifisamurai,12.0,32.0, 2009-09-28 
uokesita,64.0,178.0, 2009-10-13 
guilleiguaran,258.0,623.0, 2009-12-02 
shmangles,3.0,2.0, 2010-01-23 
grunch,72.0,79.0, 2010-03-23 
hugoerg56,31.0,20.0, 2010-05-21 
betacar,27.0,36.0, 2010-07-06 
mattsgarrison,78.0,17.0, 2010-08-12 
iamhabitat,24.0,8.0, 2010-09-16 
albertogg,47.0,90.0, 2010-10-24 
Chelo,5.0,10.0, 2011-01-29 
ajsb85,438.0,925.0, 2011-03-11 
esneider,47.0,145.0, 2011-03-13 
ainame,139.0,291.0, 2011-04-24 
josemontesdeoca,11.0,48.0, 2011-05-01 
javadabadoo,21.0,30.0, 2011-05-05 
ahmetabdi,154.0,709.0, 2011-05-09 
alfredwesterveld,52.0,64.0, 2008-04-13 
morganrallen,107.0,54.0, 2008-09-02 
aral,498.0,620.0, 2008-12-20 
mattorb,39.0,44.0, 2009-03-09 
elango,73.0,43.0, 2009-03-20 
andresdouglas,33.0,21.0, 2009-04-10 
leereilly,402.0,1733.0, 2009-08-31 
arfrank,51.0,26.0, 2009-09-16 
jkatzer,89.0,59.0, 2009-11-13 
Skyhoper,1.0,4.0, 2009-11-17 
CubeSpawn,8.0,107.0, 2009-12-07 
adkdev,5.0,27.0, 2010-03-03 
Poincare,49.0,98.0, 2010-03-06 
watcherdm,104.0,56.0, 2010-05-05 
broccolini,43.0,1956.0, 2010-07-17 
gavinuhma,28.0,147.0, 2010-09-17 
marothstein,41.0,49.0, 2010-10-12 
jefftrudeau,9.0,8.0, 2010-11-19 
freewil,127.0,101.0, 2011-04-08 
jaybny,25.0,15.0, 2011-05-09 
STUNT101,0.0,71.0, 2011-05-15 
josephhabib,5.0,4.0, 2011-07-15 
Hungsta,4.0,32.0, 2011-07-28 
wemeetagain,75.0,130.0, 2012-01-18 
oggata,162.0,46.0, 2012-01-20 
tigefa4u,265.0,456.0, 2012-03-02 
JSansalone,8.0,281.0, 2012-06-08 
csjaba,53.0,853.0, 2012-09-22 
zulhfreelancer,205.0,157.0, 2013-01-29 
shanesveller,102.0,96.0, 2008-02-25 
ivan,6.0,144.0, 2008-04-03 
ryantm,238.0,156.0, 2008-04-03 
teehemkay,12.0,20.0, 2008-04-04 
dejanr,43.0,56.0, 2008-07-26 
bbigras,170.0,36.0, 2008-09-10 
RobLoach,791.0,372.0, 2008-09-18 
godane,31.0,14.0, 2008-10-07 
h4ck3rm1k3,1247.0,563.0, 2008-11-17 
joachifm,29.0,47.0, 2008-12-21 
jb55,536.0,399.0, 2009-01-10 
newhoggy,74.0,84.0, 2009-03-13 
stigtsp,152.0,77.0, 2009-04-19 
Juiceman,22.0,4.0, 2009-04-26 
plumenator,83.0,78.0, 2009-07-11 
rohithadassanayake,5.0,526.0, 2009-07-30 
573,134.0,78.0, 2009-09-06 
samueldr,110.0,152.0, 2009-09-29 
aycanirican,55.0,77.0, 2009-10-05 
majorgreys,45.0,41.0, 2009-11-19 
robbassi,27.0,12.0, 2010-02-04 
aviraldg,75.0,117.0, 2010-04-07 
terlar,100.0,111.0, 2010-05-18 
EvanMisshula,193.0,98.0, 2010-06-09 
fabianhjr,12.0,75.0, 2010-06-13 
bachp,146.0,92.0, 2010-07-16 
nckx,37.0,18.0, 2010-08-14 
wolfflow,67.0,56.0, 2010-08-20 
timothyklim,229.0,174.0, 2010-09-04 
Boyquotes,163.0,59.0, 2010-09-27 
daaku,166.0,480.0, 2008-02-21 
benhiller,15.0,74.0, 2008-02-27 
jubishop,40.0,56.0, 2008-06-10 
eston,9.0,141.0, 2009-01-23 
rmatei,16.0,49.0, 2009-01-24 
keito,2.0,82.0, 2009-06-22 
singerdmx,15.0,446.0, 2009-09-03 
taoeffect,68.0,249.0, 2009-10-12 
liveink,76.0,36.0, 2009-10-27 
RaymondCrandall,31.0,79.0, 2010-05-05 
dennispi,7.0,9.0, 2010-09-03 
